"d_reg","n"
2017-01-03,2499
2017-01-04,4149
2017-01-05,4294
2017-01-06,2150
2017-01-08,1
2017-01-09,2
2017-01-10,3691
2017-01-11,3629
2017-01-12,3702
2017-01-13,3592
2017-01-14,2695
2017-01-15,3
2017-01-16,52
2017-01-17,5220
2017-01-18,4531
2017-01-19,3556
2017-01-20,3799
2017-01-21,3852
2017-01-22,60
2017-01-24,5865
2017-01-25,4920
2017-01-26,4548
2017-01-27,4352
2017-01-28,4308
2017-01-29,66
2017-01-30,2
2017-01-31,5472
2017-02-01,4710
2017-02-02,4855
2017-02-03,4555
2017-02-04,4249
2017-02-05,69
2017-02-06,7
2017-02-07,5383
2017-02-08,4256
2017-02-09,4297
2017-02-10,4478
2017-02-11,4224
2017-02-12,79
2017-02-14,5707
2017-02-15,4956
2017-02-16,4547
2017-02-17,4706
2017-02-18,4528
2017-02-19,105
2017-02-21,6130
2017-02-22,5445
2017-02-23,5019
2017-02-24,4834
2017-02-25,4752
2017-02-26,83
2017-02-28,6422
2017-03-01,5455
2017-03-02,5310
2017-03-03,5088
2017-03-04,5044
2017-03-05,93
2017-03-06,1
2017-03-07,6437
2017-03-09,5778
2017-03-10,5770
2017-03-11,5137
2017-03-12,113
2017-03-13,1
2017-03-14,7172
2017-03-15,6171
2017-03-16,5722
2017-03-17,5620
2017-03-18,3763
2017-03-19,131
2017-03-20,2
2017-03-21,7643
2017-03-22,6293
2017-03-23,5960
2017-03-24,5740
2017-03-25,5430
2017-03-26,124
2017-03-27,4
2017-03-28,7351
2017-03-29,6376
2017-03-30,5704
2017-03-31,5217
2017-04-01,5601
2017-04-02,114
2017-04-03,2
2017-04-04,7077
2017-04-05,6093
2017-04-06,5604
2017-04-07,6075
2017-04-08,5370
2017-04-09,90
2017-04-10,1
2017-04-11,7144
2017-04-12,6397
2017-04-13,5880
2017-04-14,5498
2017-04-15,3152
2017-04-16,1
2017-04-17,2
2017-04-18,4145
2017-04-19,4871
2017-04-20,5244
2017-04-21,5271
2017-04-22,4312
2017-04-23,55
2017-04-24,1
2017-04-25,6469
2017-04-26,5852
2017-04-27,5675
2017-04-28,5687
2017-04-29,4305
2017-04-30,69
2017-05-03,5454
2017-05-04,5810
2017-05-05,5823
2017-05-06,4810
2017-05-07,90
2017-05-08,2
2017-05-10,5677
2017-05-11,6122
2017-05-12,5997
2017-05-13,5808
2017-05-14,139
2017-05-15,1
2017-05-16,7585
2017-05-17,6476
2017-05-18,5756
2017-05-19,5833
2017-05-20,5421
2017-05-21,114
2017-05-22,12
2017-05-23,7123
2017-05-24,5849
2017-05-25,5906
2017-05-26,5413
2017-05-27,4692
2017-05-28,134
2017-05-29,2
2017-05-30,7107
2017-05-31,6182
2017-06-01,5827
2017-06-02,5845
2017-06-03,4419
2017-06-06,5397
2017-06-07,5400
2017-06-08,5611
2017-06-09,5641
2017-06-10,1806
2017-06-11,5
2017-06-12,4
2017-06-13,8227
2017-06-14,6556
2017-06-15,6265
2017-06-16,5929
2017-06-17,5243
2017-06-18,131
2017-06-20,7295
2017-06-21,6196
2017-06-22,6148
2017-06-23,5884
2017-06-24,5026
2017-06-25,70
2017-06-27,5790
2017-06-29,5577
2017-06-30,6203
2017-07-01,4943
2017-07-02,89
2017-07-03,1
2017-07-04,6913
2017-07-05,6407
2017-07-06,6084
2017-07-07,5798
