"producer","model","brand","size"
"RENAULT","MEGANE","RENAULT  MEGANE",7947
"VOLKSWAGEN","PASSAT","VOLKSWAGEN  PASSAT",6279
"SKODA","OCTAVIA","SKODA  OCTAVIA",4116
"KIA","SPORTAGE","KIA  SPORTAGE",4103
"TOYOTA","RAV4","TOYOTA  RAV4",3084
"RENAULT","DUSTER","RENAULT  DUSTER",3081
"RENAULT","LOGAN","RENAULT  LOGAN",3071
"SKODA","FABIA","SKODA  FABIA",2961
"TOYOTA","CAMRY","TOYOTA  CAMRY",2763
"VOLKSWAGEN","GOLF","VOLKSWAGEN  GOLF",2702
"FORD","FOCUS","FORD  FOCUS",2373
"VOLKSWAGEN","TIGUAN","VOLKSWAGEN  TIGUAN",2245
"NISSAN","QASHQAI","NISSAN  QASHQAI",2179
"HYUNDAI","TUCSON","HYUNDAI  TUCSON",2154
"SKODA","OCTAVIA A7","SKODA  OCTAVIA A7",2153
"RAVON","R2","RAVON  R2",1935
"VOLKSWAGEN","CADDY","VOLKSWAGEN  CADDY",1906
"VOLKSWAGEN","POLO","VOLKSWAGEN  POLO",1872
"MAZDA","CX-5","MAZDA  CX-5",1704
"NISSAN","X-TRAIL","NISSAN  X-TRAIL",1679
"SKODA","SUPERB","SKODA  SUPERB",1582
"FORD","FIESTA","FORD  FIESTA",1576
"VOLKSWAGEN","GOLF VARIANT","VOLKSWAGEN  GOLF VARIANT",1556
"AUDI","A3","AUDI  A3",1523
"NISSAN","JUKE","NISSAN  JUKE",1511
"RENAULT","MEGANE SCENIC","RENAULT  MEGANE SCENIC",1484
"RENAULT","SANDERO","RENAULT  SANDERO",1484
"VOLKSWAGEN","JETTA","VOLKSWAGEN  JETTA",1384
"TOYOTA","COROLLA","TOYOTA  COROLLA",1365
"SUZUKI","VITARA","SUZUKI  VITARA",1323
"OPEL","ASTRA","OPEL  ASTRA",1298
"VOLKSWAGEN","TOURAN","VOLKSWAGEN  TOURAN",1261
"OPEL","INSIGNIA","OPEL  INSIGNIA",1214
"NISSAN","LEAF","NISSAN  LEAF",1171
"BMW","X5","BMW  X5",1151
"FORD","KUGA","FORD  KUGA",1142
"TOYOTA","LAND CRUISER 200","TOYOTA  LAND CRUISER 200",1138
"RENAULT","KANGOO","RENAULT  KANGOO",1082
"MAZDA","6","MAZDA  6",1080
"AUDI","Q7","AUDI  Q7",1071
"MITSUBISHI","OUTLANDER","MITSUBISHI  OUTLANDER",1046
"SUZUKI","NEW SX4","SUZUKI  NEW SX4",1045
"SKODA","RAPID","SKODA  RAPID",1010
"BMW","X3","BMW  X3",998
"MAZDA","3","MAZDA  3",940
"HYUNDAI","ACCENT","HYUNDAI  ACCENT",938
"ЗАЗ","SENS","ЗАЗ  SENS",933
"RAVON","R4","RAVON  R4",915
"OPEL","ASTRA SPORTS TOURER","OPEL  ASTRA SPORTS TOURER",893
"RENAULT","CLIO","RENAULT  CLIO",888
"AUDI","Q5","AUDI  Q5",887
"PEUGEOT","3008","PEUGEOT  3008",877
"HONDA","CR-V","HONDA  CR-V",842
"AUDI","A4","AUDI  A4",819
"PEUGEOT","301","PEUGEOT  301",780
"RENAULT","DOKKER","RENAULT  DOKKER",772
"LEXUS","RX 200T","LEXUS  RX 200T",746
"TOYOTA","LAND CRUISER PRADO 150","TOYOTA  LAND CRUISER PRADO 150",746
"HYUNDAI","SANTA FE","HYUNDAI  SANTA FE",745
