"date","АВТОБУС","ВАНТАЖНИЙ","КВАДРОЦИКЛ","ЛЕГКОВИЙ","МОПЕД","МОТОЦИКЛ","НАПІВПРИЧІП","ПРИЧІП","ТРИЦИКЛ"
"2017-01",98,2278,1,7432,104,351,537,522,3
"2017-02",131,2890,3,8524,114,510,798,641,7
"2017-03",125,3839,2,11998,772,1235,1208,1102,21
"2017-04",91,3496,6,11628,957,1505,1044,1063,38
"2017-05",116,3448,8,11792,1527,1705,1010,908,14
"2017-06",126,3434,14,12045,1642,1866,1061,986,15
"2017-07",125,3464,3,12295,1567,1923,1085,987,11
"2017-08",132,3201,8,12541,1774,2087,941,1121,18
"2017-09",145,3354,2,13912,1475,1924,973,1166,20
"2017-10",143,3425,5,13770,664,1360,1080,1144,20
"2017-11",189,3250,12,14695,499,1140,957,1129,12
"2017-12",212,2882,7,16553,314,912,750,935,20
"2018-01",172,2619,12,12447,180,663,736,655,21
"2018-02",197,2962,10,12631,234,786,879,730,6
