"date","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2017-01",21,29,27,21,26,47,58,58,93,224,244,96,393,960,1369,956,394,609,5121,450,0
"2017-02",28,23,50,44,51,42,71,70,164,319,315,116,522,1201,2031,1357,600,575,4028,1862,0
"2017-03",79,78,80,97,85,91,158,133,253,533,561,196,707,1536,2665,1905,915,749,4054,5034,0
"2017-04",96,72,81,95,89,95,127,145,234,516,663,196,719,1517,2420,1790,850,728,2704,6241,0
"2017-05",106,153,99,99,94,112,114,151,241,590,688,214,742,1611,2406,1827,1044,684,1923,6920,0
"2017-06",127,159,80,114,79,115,138,140,276,641,754,221,797,1469,2280,1908,1154,695,1616,7712,0
"2017-07",134,140,102,96,86,109,128,149,223,551,635,185,868,1657,2257,2047,1197,761,1349,8031,0
"2017-08",111,160,90,109,63,88,115,141,208,568,689,178,852,1629,2133,1970,1240,957,1156,8578,0
"2017-09",101,113,82,84,60,87,106,121,237,604,608,184,889,1648,2136,2002,1372,1169,1001,9696,0
"2017-10",60,57,65,55,64,61,69,104,191,450,477,188,975,1712,1974,1961,1419,1382,735,9263,0
"2017-11",42,50,42,44,52,63,86,119,177,395,448,179,1066,1776,2129,2257,1498,984,753,9423,0
"2017-12",36,36,45,35,56,48,73,80,108,316,350,117,1049,1850,1977,2058,1470,1152,933,10606,0
"2018-01",33,37,37,33,36,45,60,76,100,294,299,127,763,1374,1424,1674,1234,980,723,7687,336
"2018-02",25,39,44,33,46,46,60,102,137,345,333,170,848,1501,1640,1949,1509,1312,899,5778,1463
