"producer","n"
ВАЗ,200368
VOLKSWAGEN,116429
MERCEDES-BENZ,95059
RENAULT,87418
TOYOTA,70431
SKODA,57799
OPEL,52192
DAEWOO,50506
ЗАЗ,50315
FORD,47100
HYUNDAI,46535
CHEVROLET,46279
NISSAN,41187
MITSUBISHI,40124
ГАЗ,35294
BMW,35072
AUDI,31716
KIA,29914
HONDA,29157
MAZDA,25831
PEUGEOT,24887
FIAT,21211
DAF,17557
CITROEN,16850
ЗАЗ-DAEWOO,14819
LEXUS,13750
MAN,13678
CHERY,13285
SUZUKI,13025
VOLVO,12035
GEELY,11042
КАМАЗ,10958
SUBARU,10191
SCHMITZ,9792
ПГМФ,8569
МАЗ,8167
ЗИЛ,7780
УАЗ,6916
БОГДАН,6740
DACIA,6430
ЛЕВ,6362
LAND ROVER,5923
KOGEL,5705
SEAT,5664
БАЗ,5624
KRONE,5242
IVECO,4838
АЗЛК,4486
ИЖ,4450
VIPER,4226
YAMAHA,4135
SCANIA,3923
АМС,3911
КРД,3785
РУТА,3660
SSANG YONG,3582
ПГ,3564
PORSCHE,3432
INFINITI,3324
RAVON,3187
ЗИЛ-ММЗ,3050
SMART,2771
КРАЗ,2612
ГКБ,2421
SCHWARZMULLER,2379
MUSSTANG,2356
ПАЗ,2310
ЛІДЕР,2251
SPARK,2240
LIFAN,2140
ПАВАМ,1882
КРЕОН,1841
GREAT WALL,1828
LADA,1788
JEEP,1698
БОБЕР,1508
BODEX,1398
WIELTON,1374
SHINERAY,1354
САЗ,1331
ACURA,1325
DODGE,1324
GEON,1316
FRUEHAUF,1307
УВН,1300
ГАЗ-САЗ,1252
KAWASAKI,1222
СЗАП,1200
VAN HOOL,1193
СКС,1095
ОДИСЕЙ,1074
NEOPLAN,1050
АС,1043
MINI,1015
КМЗ,996
TRAILOR,957
ATAMAN,934
ОДАЗ,931
I-VAN,897
CHRYSLER,885
ПАЛИЧ,885
TATA,874
НЕФАЗ,874
ISUZU,864
ТА-НО,861
DELTA,843
УРАЛ,803
JAGUAR,759
SAMRO,746
JAC,741
ALPHA,735
АВТОБАН,731
САНТЕЙ,709
ЛУАЗ,698
FAW,697
PACTON,677
BAJAJ,672
JAWA,659
ВЕРДА,657
SETRA,632
КАРАВАН,632
BYD,617
КАМА,551
DAIHATSU,533
ЛАЗ,520
LONCIN,515
KASSBOHRER,511
HARLEY-DAVIDSON,498
ALFA ROMEO,495
YIBEN,490
КНОТТ,478
INDOX,457
ПР,449
LAMBERET,447
МУРАВЕЙ,444
ММЗ,430
KRASZ,423
ПФ,420
CHEREAU,404
SOUL,403
GENERAL TRAILERS,401
JIANSHE,400
FOTON,374
JANMIL,373
ПА,370
IKCO,369
SKYMOTO,368
FLIEGL,367
КАВЗ,356
RENDERS,356
MG,350
РАФ,339
STAS,336
KANUNI,333
LAG,331
ROVER,331
KINLON,323
ПВА,320
CADILLAC,317
EVERLAST,303
ММВЗ,299
LANCIA,289
PANAV,287
IKARUS,283
BENTLEY,276
BENALU,274
TESLA,272
SKYBIKE,264
ЕТАЛОН,248
SYM,247
MAGYAR,243
ПП,242
MEGA,238
ВАРЗ,235
SPARTA,234
LEADER,228
LDV,224
ZONGSHEN,223
SOMMER,222
ACKERMANN,216
ДНІСТЕР,215
ППЦ,215
LANGENDORF,214
DEFIANT,210
HYOSUNG,209
ДНІПРО,209
SAAB,209
КРЕМІНЬ,208
QINGQI,204
BURG,203
ТК,202
ХАЗ,201
КТС,199
